model_name,module,shared_failure_bucket,surface,share_within_module_mean,share_within_module_std,share_within_module_min,share_within_module_max,n_mean,n_std,n_min,n_max
mistralai/Mistral-7B-Instruct-v0.3,math,executable_relation,hard_cluster_main_r2,0.07835435230248818,0.005427516812726016,0.07223796033994334,0.08259587020648967,54.333333333333336,2.886751345948128,51,56
mistralai/Mistral-7B-Instruct-v0.3,math,executable_relation,hard_generic_main_r2,0.03599451626943533,0.002165648087743351,0.03392330383480826,0.03824362606232295,25.0,2.0,23,27
mistralai/Mistral-7B-Instruct-v0.3,math,final_requirement_realization,hard_cluster_main_r2,0.15570918627430533,0.006769628031044081,0.14872521246458922,0.16224188790560473,108.0,2.6457513110645907,105,110
mistralai/Mistral-7B-Instruct-v0.3,math,final_requirement_realization,hard_generic_main_r2,0.017253824922900302,0.004113826659915482,0.01327433628318584,0.02148997134670487,12.0,3.0,9,15
mistralai/Mistral-7B-Instruct-v0.3,math,structural_or_broad,hard_cluster_main_r2,0.1806029480934075,0.019125723274881837,0.15902578796561603,0.1954674220963173,125.33333333333333,13.576941236277532,111,138
mistralai/Mistral-7B-Instruct-v0.3,math,structural_or_broad,hard_generic_main_r2,0.0417707011838463,0.0023722465228585413,0.03982300884955752,0.044412607449856735,29.0,2.0,27,31
Qwen/Qwen2.5-14B-Instruct,format,binding_or_alignment,ifbench,0.06055252228922572,0.0017611375025899576,0.05907172995780591,0.0625,14.0,0.0,14,14
Qwen/Qwen2.5-14B-Instruct,format,binding_or_alignment,ifeval_screened,0.10219550166818869,0.02041318972842817,0.0815450643776824,0.12236286919831224,23.666666666666668,5.033222956847167,19,29
Qwen/Qwen2.5-14B-Instruct,format,direct_correct,ifbench,0.13108024918918873,0.003431232080257568,0.12875536480686695,0.1350210970464135,30.333333333333332,1.5275252316519465,29,32
Qwen/Qwen2.5-14B-Instruct,format,direct_correct,ifeval_screened,0.3613763871749964,0.021383383999603222,0.3392857142857143,0.38197424892703863,83.66666666666667,6.806859285554045,76,89
Qwen/Qwen2.5-14B-Instruct,format,final_requirement_realization,ifbench,0.14548640484425782,0.002440523635366784,0.14285714285714285,0.14767932489451477,33.666666666666664,1.5275252316519468,32,35
Qwen/Qwen2.5-14B-Instruct,format,final_requirement_realization,ifeval_screened,0.06634165228721647,0.005761002117541038,0.060085836909871244,0.07142857142857142,15.333333333333334,1.1547005383792517,14,16
Qwen/Qwen2.5-14B-Instruct,format,structural_or_broad,ifbench,0.1172121372045314,0.027245596068455672,0.08860759493670886,0.14285714285714285,27.0,5.5677643628300215,21,32
Qwen/Qwen2.5-14B-Instruct,format,structural_or_broad,ifeval_screened,0.01575514534239476,0.006340293846085883,0.008928571428571428,0.02145922746781116,3.6666666666666665,1.5275252316519468,2,5
Qwen/Qwen2.5-14B-Instruct,math,binding_or_alignment,hard_cluster_main_r2,0.33336884271573447,0.007238064817252142,0.32798833819241985,0.3415977961432507,236.0,11.532562594670797,225,248
Qwen/Qwen2.5-14B-Instruct,math,binding_or_alignment,hard_generic_main_r2,0.09385761222261069,0.011735370708728732,0.08157524613220815,0.10495626822157435,66.33333333333333,7.3711147958319945,58,72
Qwen/Qwen2.5-14B-Instruct,math,direct_correct,hard_cluster_main_r2,0.23844082057839366,0.0053594090925078676,0.2327823691460055,0.2434402332361516,168.66666666666666,1.5275252316519474,167,170
Qwen/Qwen2.5-14B-Instruct,math,direct_correct,hard_generic_main_r2,0.0846737800426065,0.006424975711830701,0.07725947521865889,0.08860759493670886,60.0,6.082762530298219,53,64
Qwen/Qwen2.5-14B-Instruct,math,executable_relation,hard_cluster_main_r2,0.15129364006797605,0.005013047547628727,0.14600550964187328,0.15597667638483964,107.0,1.0,106,108
Qwen/Qwen2.5-14B-Instruct,math,executable_relation,hard_generic_main_r2,0.044769864466442745,0.0054190953778092115,0.03994490358126722,0.05063291139240506,31.666666666666668,3.785938897200183,29,36
Qwen/Qwen2.5-14B-Instruct,math,final_requirement_realization,hard_cluster_main_r2,0.02396513928652676,0.0031099090643134466,0.02040816326530612,0.026170798898071626,17.0,2.6457513110645907,14,19
Qwen/Qwen2.5-14B-Instruct,math,final_requirement_realization,hard_generic_main_r2,0.008004702668989559,0.0021082194668539844,0.005625879043600563,0.009641873278236915,5.666666666666667,1.5275252316519465,4,7
Qwen/Qwen2.5-14B-Instruct,math,structural_or_broad,hard_cluster_main_r2,0.01882463232595921,0.004410964772997077,0.016034985422740525,0.02390998593530239,13.333333333333334,3.2145502536643185,11,17
Qwen/Qwen2.5-14B-Instruct,math,structural_or_broad,hard_generic_main_r2,0.002800965624760275,0.0013372929339238154,0.0014577259475218659,0.004132231404958678,2.0,1.0,1,3
